Date,Q1,Q2,Q3,Q4,Q5
July 20 2011,GIS KR MKC SJM,EL HRL HSY K,KHC KMB MDLZ MNST,PEP PG PM SYY,TAP TSN WBA WMT
August 17 2011,MDLZ MNST MKC K,TAP KMB PEP TSN,KR GIS PG PM,HSY SJM EL HRL,KHC SYY WBA WMT
September 14 2011,MNST SYY MDLZ MKC,SJM PEP K TSN,TAP KMB KR HRL,GIS EL PG PM,WMT HSY KHC WBA
October 12 2011,MNST SYY MDLZ MKC,SJM PEP K GIS,TAP TSN KR HRL,KMB EL PG PM,WMT HSY KHC WBA
November 09 2011,MDLZ MNST MKC EL,SJM PG PEP K,TAP KMB GIS TSN,KR SYY HRL PM,WMT HSY KHC WBA
December 07 2011,MDLZ MKC EL K,TAP SJM PG PEP,KMB GIS SYY HRL,MNST WMT KR PM,TSN HSY KHC WBA
January 04 2012,MDLZ SJM MKC EL,PG TAP K PEP,MNST KMB KR SYY,HRL WMT GIS PM,TSN HSY KHC WBA
February 01 2012,MDLZ SJM EL K,PG TAP PEP KMB,MNST SYY KR GIS,HRL WMT MKC PM,TSN HSY KHC WBA
February 29 2012,EL SJM K PG,MNST SYY KMB PEP,MDLZ TAP KR GIS,WMT TSN PM MKC,HRL HSY KHC WBA
March 28 2012,SJM EL MNST PG,SYY MDLZ PEP TAP,KMB KR WMT GIS,TSN PM HRL MKC,K HSY KHC WBA
April 25 2012,SJM EL MNST PG,SYY MDLZ PEP TAP,KMB KR WMT GIS,MKC TSN PM HRL,K HSY KHC WBA
May 23 2012,SJM MDLZ PEP PG,SYY TAP KMB TSN,KR PM WMT EL,K GIS HRL HSY,MKC KHC MNST WBA
June 20 2012,SJM HRL WMT MDLZ,TAP PG KMB PEP,SYY TSN EL KR,K PM GIS HSY,MKC KHC MNST WBA
July 18 2012,HRL WMT MDLZ PG,TAP KMB KR PEP,SYY EL TSN GIS,K MKC PM HSY,SJM KHC MNST WBA
August 15 2012,WMT HRL TAP PEP,K MDLZ KR KMB,SYY EL TSN GIS,PG MKC PM HSY,SJM MNST KHC WBA
September 12 2012,SJM SYY WMT PEP,K MDLZ TAP KR,EL KMB TSN GIS,PG HSY PM HRL,MNST MKC KHC WBA
October 10 2012,SJM SYY WMT PEP,K MDLZ TAP EL,PG KR KMB TSN,MKC HSY GIS HRL,MNST PM KHC WBA
